,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
19,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,38,0,371,2,3,4,45,3,1,4,3944,4306,5,11,3,3,0,6,3,3,3,2,1,2
20,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,673,11,2,1,96,4,2,3,4011,8232,0,18,3,4,1,5,5,2,4,2,1,3
21,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,36,1,1218,9,4,3,82,2,1,1,3407,6986,7,23,4,2,0,10,4,3,5,3,0,3
22,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34,0,419,7,4,1,53,3,3,2,11994,21293,0,11,3,3,0,13,4,3,12,6,2,11
23,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,21,0,391,15,2,3,96,3,1,4,1232,19281,1,14,3,4,0,0,6,3,0,0,0,0
24,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,34,1,699,6,1,2,83,3,1,1,2960,17102,2,11,3,3,0,8,2,3,4,2,1,3
25,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,53,0,1282,5,3,3,58,3,5,3,19094,10735,4,11,3,4,1,26,3,2,14,13,4,8
26,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,32,1,1125,16,1,2,72,1,1,1,3919,4681,1,22,4,2,0,10,5,3,10,2,6,7
27,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,42,0,691,8,4,3,48,3,2,2,6825,21173,0,11,3,4,1,10,2,3,9,7,4,2
28,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44,0,477,7,4,1,42,2,3,4,10248,2094,3,14,3,4,1,24,4,3,22,6,5,17
29,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,46,0,705,2,4,2,83,3,5,1,18947,22822,3,12,3,4,0,22,2,2,2,2,2,1
30,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,33,0,924,2,3,3,78,3,1,4,2496,6670,4,11,3,4,0,7,3,3,1,1,0,0
31,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,44,0,1459,10,4,4,41,3,2,4,6465,19121,2,13,3,4,0,9,5,4,4,2,1,3
32,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,30,0,125,9,2,4,83,2,1,3,2206,16117,1,13,3,1,0,10,5,3,10,0,1,8
33,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,39,1,895,5,3,4,56,3,2,4,2086,3335,3,14,3,3,1,19,6,4,1,0,0,0
34,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,24,1,813,1,3,2,61,3,1,4,2293,3020,2,16,3,1,1,6,2,2,2,0,2,0
35,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,0,1273,2,2,4,72,4,1,3,2645,21923,1,12,3,4,2,6,3,2,5,3,1,4
36,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,50,1,869,3,2,1,86,2,1,3,2683,3810,1,14,3,3,0,3,2,3,3,2,0,2
37,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35,0,890,2,3,4,97,3,1,4,2014,9687,1,13,3,1,0,2,3,3,2,2,2,2
38,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,36,0,852,5,4,2,82,2,1,1,3419,13072,9,14,3,4,1,6,3,4,1,1,0,0
39,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,33,0,1141,1,3,3,42,4,2,1,5376,3193,2,19,3,1,2,10,3,3,5,3,1,3
40,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,35,0,464,4,2,3,75,3,1,4,1951,10910,1,12,3,3,1,1,3,3,1,0,0,0
41,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,1240,2,4,4,33,3,1,1,2341,19715,1,13,3,4,1,1,6,3,1,0,0,0
42,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,26,1,1357,25,3,1,48,1,1,3,2293,10558,1,12,3,3,0,1,2,2,1,0,0,1
43,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,27,0,994,8,3,4,37,3,3,3,8726,2975,1,15,3,4,0,9,0,3,9,8,1,7
44,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30,0,721,1,2,3,58,3,2,4,4011,10781,1,23,4,4,0,12,2,3,12,8,3,7
45,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,41,1,1360,12,3,2,49,3,5,3,19545,16280,1,12,3,4,0,23,0,3,22,15,15,8
46,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,34,0,1065,23,4,2,72,3,2,3,4568,10034,0,20,4,3,0,10,2,3,9,5,8,7
47,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,37,0,408,19,2,2,73,3,1,2,3022,10227,4,21,4,1,0,8,1,3,1,0,0,0
48,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,46,0,1211,5,4,1,98,3,2,4,5772,20445,4,21,4,3,0,14,4,3,9,6,0,8
49,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,35,0,1229,8,1,4,36,4,1,4,2269,4892,1,19,3,4,0,1,2,3,1,0,0,1
50,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,48,1,626,1,2,1,98,2,3,3,5381,19294,9,13,3,4,0,23,2,3,1,0,0,0
51,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,28,1,1434,5,4,3,50,3,1,3,3441,11179,1,13,3,3,0,2,3,2,2,2,2,2
52,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,44,0,1488,1,5,2,75,3,2,1,5454,4009,5,21,4,3,1,9,2,2,4,3,1,3
53,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,35,0,1097,11,2,3,79,2,3,1,9884,8302,2,13,3,3,1,10,3,3,4,0,2,3
54,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,26,0,1443,23,3,3,47,2,2,4,4157,21436,7,19,3,3,1,5,2,2,2,2,0,0
55,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,33,0,515,1,2,1,98,3,3,4,13458,15146,1,12,3,3,0,15,1,3,15,14,8,12
56,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,35,0,853,18,5,2,71,3,3,1,9069,11031,1,22,4,4,1,9,3,2,9,8,1,8
57,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,35,0,1142,23,4,3,30,3,1,1,4014,16002,3,15,3,3,1,4,3,3,2,2,2,2
58,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,31,0,655,7,4,4,48,3,2,4,5915,9528,3,22,4,4,1,10,3,2,7,7,1,7
59,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,37,0,1115,1,4,1,51,2,2,3,5993,2689,1,18,3,3,1,7,2,4,7,5,0,7
60,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,32,0,427,1,3,1,33,3,2,4,6162,10877,1,22,4,2,1,9,3,3,9,8,7,8
61,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,38,0,653,29,5,4,50,3,2,4,2406,5456,1,11,3,4,0,10,2,3,10,3,9,9
62,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50,0,989,7,2,2,43,2,5,3,18740,16701,5,12,3,4,1,29,2,2,27,3,13,8
63,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,59,0,1435,25,3,1,99,3,3,1,7637,2354,7,11,3,4,0,28,3,2,21,16,7,9
64,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1223,8,3,3,59,3,3,3,10096,8202,1,13,3,2,3,17,2,3,17,14,12,8
65,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,55,0,836,8,3,4,33,3,4,3,14756,19730,2,14,3,3,3,21,2,3,5,0,0,2
66,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,36,0,1195,11,3,2,95,2,2,2,6499,22656,1,13,3,3,0,6,3,3,6,5,0,3
67,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,45,0,1339,7,3,2,59,3,3,1,9724,18787,2,17,3,3,1,25,2,3,1,0,0,0
68,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,35,0,664,1,3,2,79,3,1,1,2194,5868,4,13,3,4,1,5,2,2,3,2,1,2
69,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,36,1,318,9,3,4,79,2,1,3,3388,21777,0,17,3,1,1,2,0,2,1,0,0,0
70,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,59,0,1225,1,1,1,57,2,2,3,5473,24668,7,11,3,4,0,20,2,2,4,3,1,3
71,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,29,0,1328,2,3,3,76,3,1,2,2703,4956,0,23,4,4,1,6,3,3,5,4,0,4
72,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,31,0,1082,1,4,3,87,3,1,2,2501,18775,1,17,3,2,0,1,4,3,1,1,1,0
73,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,32,0,548,1,3,2,66,3,2,2,6220,7346,1,17,3,2,2,10,3,3,10,4,0,9
74,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,36,0,132,6,3,2,55,4,1,4,3038,22002,3,12,3,2,0,5,3,3,1,0,0,0
75,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,31,0,746,8,4,3,61,3,2,4,4424,20682,1,23,4,4,0,11,2,3,11,7,1,8
76,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,35,0,776,1,4,3,32,2,2,1,4312,23016,0,14,3,2,0,16,2,3,15,13,2,8
77,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,45,0,193,6,4,4,52,3,3,1,13245,15067,4,14,3,2,0,17,3,4,0,0,0,0
78,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,37,0,397,7,4,1,30,3,3,3,13664,25258,4,13,3,1,0,16,3,4,5,2,0,2
79,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,46,0,945,5,2,2,80,3,2,2,5021,10425,8,22,4,4,1,16,2,3,4,2,0,2
80,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,30,0,852,1,1,4,55,2,2,4,5126,15998,1,12,3,3,2,10,1,2,10,8,3,0
81,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,35,0,1214,1,3,2,30,2,1,3,2859,26278,1,18,3,1,0,6,3,3,6,4,0,4
82,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,55,0,111,1,2,1,70,3,3,4,10239,18092,3,14,3,4,1,24,4,3,1,0,1,0
83,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,38,0,573,6,3,2,79,1,2,4,5329,15717,7,12,3,4,3,17,3,3,13,11,1,9
84,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,34,0,1153,1,2,1,94,3,2,2,4325,17736,1,15,3,3,0,5,2,3,5,2,1,3
85,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,56,0,1400,7,3,4,49,1,3,4,7260,21698,4,11,3,1,0,37,3,2,6,4,0,2
86,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,23,0,541,2,1,3,62,3,1,1,2322,9518,3,13,3,3,1,3,3,3,0,0,0,0
87,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,51,0,432,9,4,4,96,3,1,4,2075,18725,3,23,4,2,2,10,4,3,4,2,0,3
88,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,30,0,288,2,3,3,99,2,2,4,4152,15830,1,19,3,1,3,11,3,3,11,10,10,8
89,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,46,1,669,9,2,3,64,2,3,4,9619,13596,1,16,3,4,0,9,3,3,9,8,4,7
90,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,40,0,530,1,4,3,78,2,4,2,13503,14115,1,22,4,4,1,22,3,2,22,3,11,11
91,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,51,0,632,21,4,3,71,3,2,4,5441,8423,0,22,4,4,0,11,2,1,10,7,1,0
92,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,30,0,1334,4,2,3,63,2,2,2,5209,19760,1,12,3,2,3,11,4,2,11,8,2,7
93,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,46,0,638,1,3,3,40,2,3,1,10673,3142,2,13,3,3,1,21,5,2,10,9,9,5
94,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,32,0,1093,6,4,2,87,3,2,3,5010,24301,1,16,3,1,0,12,0,3,11,8,5,7
95,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,54,0,1217,2,4,1,60,3,3,3,13549,24001,9,12,3,1,1,16,5,1,4,3,0,3
96,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,24,0,1353,3,2,1,33,3,2,3,4999,17519,0,21,4,1,1,4,2,2,3,2,0,2
97,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,28,0,120,4,3,2,43,3,2,3,4221,8863,1,15,3,2,0,5,3,4,5,4,0,4
98,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,58,0,682,10,4,4,37,3,4,3,13872,24409,0,13,3,3,0,38,1,2,37,10,1,8
99,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,44,0,489,23,3,2,67,3,2,2,2042,25043,4,12,3,3,1,17,3,4,3,2,1,2
100,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,37,1,807,6,4,3,63,3,1,1,2073,23648,4,22,4,4,0,7,3,3,3,2,0,2
101,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,32,0,827,1,1,4,71,3,1,1,2956,15178,1,13,3,4,0,1,2,3,1,0,0,0
102,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,20,1,871,6,3,4,66,2,1,4,2926,19783,1,18,3,2,0,1,5,3,1,0,1,0
103,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,34,0,665,6,4,1,41,3,2,3,4809,12482,1,14,3,3,0,16,3,3,16,13,2,10
104,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,1040,2,2,3,100,2,2,4,5163,15850,5,14,3,4,1,17,2,4,1,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,59,0,1420,2,4,3,32,2,5,4,18844,21922,9,21,4,4,1,30,3,3,3,2,2,2
106,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,50,0,1115,1,3,1,73,3,5,2,18172,9755,3,19,3,1,0,28,1,2,8,3,0,7
107,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,25,1,240,5,3,3,46,2,2,3,5744,26959,1,11,3,4,0,6,1,3,6,4,0,3
108,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,25,0,1280,7,1,4,64,2,1,4,2889,26897,1,11,3,3,2,2,2,3,2,2,2,1
109,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22,0,534,15,3,2,59,3,1,4,2871,23785,1,15,3,3,0,1,5,3,0,0,0,0
110,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0,1456,1,4,1,30,2,3,1,7484,25796,3,20,4,3,0,23,1,2,13,12,12,8
111,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,34,1,658,7,3,1,66,1,2,3,6074,22887,1,24,4,4,0,9,3,3,9,7,0,6
112,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,54,0,142,26,3,4,30,4,4,4,17328,13871,2,12,3,3,0,23,3,3,5,3,4,4
113,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,24,0,1127,18,1,2,52,3,1,3,2774,13257,0,12,3,3,1,6,2,3,5,3,1,2
114,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,0,1031,6,4,3,45,2,2,2,4505,15000,6,15,3,3,1,12,3,3,1,0,0,0
115,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,37,0,1189,3,3,3,87,3,3,4,7428,14506,2,12,3,1,0,12,3,3,5,3,1,3
116,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,34,0,1354,5,3,3,45,2,3,1,11631,5615,2,12,3,4,0,14,6,3,11,10,5,8
117,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,36,0,1467,11,2,2,92,3,3,4,9738,22952,0,14,3,3,1,10,6,3,9,7,2,8
118,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0,922,3,2,1,39,3,1,4,2835,2561,5,22,4,1,1,7,2,3,1,0,0,0
119,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,43,0,394,26,2,3,92,3,4,4,16959,19494,1,12,3,4,2,25,3,4,25,12,4,12
120,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30,0,1312,23,3,1,96,1,1,3,2613,22310,1,25,4,3,3,10,2,2,10,7,0,9
121,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,33,0,750,22,2,3,95,3,2,2,6146,15480,0,13,3,1,1,8,2,4,7,7,0,7
122,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,56,1,441,14,4,2,72,3,1,2,4963,4510,9,18,3,1,3,7,2,3,5,4,4,3
123,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,51,0,684,6,3,1,51,3,5,3,19537,6462,7,13,3,3,0,23,5,3,20,18,15,15
124,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,31,1,249,6,4,2,76,1,2,3,6172,20739,4,18,3,2,0,12,3,2,7,7,7,7
125,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,26,0,841,6,3,3,46,2,1,2,2368,23300,1,19,3,3,0,5,3,2,5,4,4,3
126,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,58,1,147,23,4,4,94,3,3,4,10312,3465,1,12,3,4,1,40,3,2,40,10,15,6
127,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,19,1,528,22,1,4,50,3,1,3,1675,26820,1,19,3,4,0,0,2,2,0,0,0,0
128,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,22,0,594,2,1,3,100,3,1,4,2523,19299,0,14,3,3,1,3,2,3,2,1,2,1
129,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,49,0,470,20,4,3,96,3,2,1,6567,5549,1,14,3,3,0,16,2,2,15,11,5,11
130,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,43,0,957,28,3,2,72,4,1,3,4739,16090,4,12,3,4,0,18,2,3,3,2,1,2
131,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,50,0,809,12,3,3,77,3,3,4,9208,6645,4,11,3,4,0,16,3,3,2,2,2,1
132,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,31,1,542,20,3,2,71,1,2,3,4559,24788,3,11,3,3,1,4,2,3,2,2,2,2
133,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,41,0,802,9,1,3,96,3,3,3,8189,21196,3,13,3,3,1,12,2,3,9,7,0,7
134,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,26,0,1355,25,1,3,61,3,1,3,2942,8916,1,23,4,4,1,8,3,3,8,7,5,7
135,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,36,0,216,6,2,2,84,3,2,2,4941,2819,6,20,4,4,2,7,0,3,3,2,0,1
136,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,51,1,1150,8,4,1,53,1,3,4,10650,25150,2,15,3,4,0,18,2,3,4,2,0,3
137,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,39,0,1329,4,4,4,47,2,2,3,5902,14590,4,14,3,3,1,17,1,4,15,11,5,9
